termo_pesquisa,id,titulo,preco,link,vendedor,condicao,disponibilidade,vendidos
amazon fire tv,MLA1479744839,Amazon Fire Tv Stick Lite Control Por Voz Alexa Fhd 1080p Color Negro Tipo De Control Remoto De Voz,57800.0,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-lite-control-por-voz-alexa-fhd-1080p-color-negro-tipo-de-control-remoto-de-voz/p/MLA24588486#wid=MLA1479744839&sid=unknown,1070313715,new,1,
amazon fire tv,MLA1424231923,Amazon Fire Tv Stick 4k Max 16 Gb Wifi 6 Ultra Rápido Color Negro,108299.0,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-4k-max-16-gb-wifi-6-ultra-rapido-color-negro/p/MLA29525405#wid=MLA1424231923&sid=unknown,451257294,new,1,
amazon fire tv,MLA1902975430,Amazon Fire Tv Stick 3ra Hd Alexa Voice Remote Original,85990.0,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-3ra-hd-alexa-voice-remote-original/p/MLA21723872#wid=MLA1902975430&sid=unknown,119671699,new,1,
amazon fire tv,MLA1477750263,Amazon Fire Tv Stick Hd 4a Generación Con Comandos De Voz Negro 1gb Ram,59933.0,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-hd-4a-generacion-con-comandos-de-voz-negro-1gb-ram/p/MLA44218605#wid=MLA1477750263&sid=unknown,160852200,new,1,
amazon fire tv,MLA1985471482,Amazon Fire Tv Stick Hd 2024 Control Por Voz Smart Tv- Netfl,58999.0,https://articulo.mercadolibre.com.ar/MLA-1985471482-amazon-fire-tv-stick-hd-2024-control-por-voz-smart-tv-netfl-_JM,1946156367,new,1,
amazon fire tv,MLA1369238847,Amazon Fire Tv Stick Lite Control De Voz Full Hd 8gb 1gb Ram,65999.12,https://articulo.mercadolibre.com.ar/MLA-1369238847-amazon-fire-tv-stick-lite-control-de-voz-full-hd-8gb-1gb-ram-_JM,1002842391,new,1,
amazon fire tv,MLA1397794231,"Fire Tv Stick (3.ª Generación 2021) Con Alexa Voice Remote,",69279.0,https://www.mercadolibre.com.ar/fire-tv-stick-3-generacion-2021-con-alexa-voice-remote/p/MLA20544487#wid=MLA1397794231&sid=unknown,135917254,new,1,
amazon fire tv,MLA1474169913,Amazon Fire Tv Stick Hd 2024 Control Por Voz Fhd Sicoaf,59999.0,https://articulo.mercadolibre.com.ar/MLA-1474169913-amazon-fire-tv-stick-hd-2024-control-por-voz-fhd-sicoaf-_JM,821536236,new,100,
amazon fire tv,MLA1975526012,Amazon Fire Tv Stick Hd 2024 Control De Voz 8gh Wifi 5 Nuevo,78989.73,https://articulo.mercadolibre.com.ar/MLA-1975526012-amazon-fire-tv-stick-hd-2024-control-de-voz-8gh-wifi-5-nuevo-_JM,209752538,new,1,
amazon fire tv,MLA1856299014,Amazon Fire Tv Stick 4k De Voz 2ª Generación 4k 8gb Negro1 Con 1.5gb De Memoria Ram,90240.0,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-4k-de-voz-2-generacion-4k-8gb-negro1-con-15gb-de-memoria-ram/p/MLA14141341#wid=MLA1856299014&sid=unknown,131846678,new,1,
amazon fire tv,MLA1908528342,"Amazon Fire Tv Stick 4k Streaming, Con Alexa Voice Remote Color Negro",98806.0,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-4k-streaming-con-alexa-voice-remote-color-negro/p/MLA24025713#wid=MLA1908528342&sid=unknown,736807315,new,1,
amazon fire tv,MLA1937931438,Amazon Fire Tv Stick Lite Full Hd 8gb Control + Voz Negro,57985.0,https://articulo.mercadolibre.com.ar/MLA-1937931438-amazon-fire-tv-stick-lite-full-hd-8gb-control-voz-negro-_JM,1848533798,new,1,
amazon fire tv,MLA1974013466,Amazon Fire Tv Stick Hd 2024 Control Por Voz Fhd Streamoing,61999.0,https://articulo.mercadolibre.com.ar/MLA-1974013466-amazon-fire-tv-stick-hd-2024-control-por-voz-fhd-streamoing-_JM,1473628674,new,1,
amazon fire tv,MLA2008339342,Amazon Fire Tv Stick 4k 2023 Wifi 6 2gb Color Negro,68479.0,https://articulo.mercadolibre.com.ar/MLA-2008339342-amazon-fire-tv-stick-4k-2023-wifi-6-2gb-color-negro-_JM,1946156367,new,1,
amazon fire tv,MLA1996368090,Streaming Fire Tv Stick lite - Amazon - 1080p Fhd / Rom 8gb,62299.11,https://www.mercadolibre.com.ar/streaming-fire-tv-sticklite-amazon-1080p-fhd-rom-8gb/p/MLA38413896#wid=MLA1996368090&sid=unknown,821536236,new,100,
amazon fire tv,MLA1974888490,Amazon Fire Tv Stick Hd 2024 Control Por Voz Fhd Streaming,66599.0,https://articulo.mercadolibre.com.ar/MLA-1974888490-amazon-fire-tv-stick-hd-2024-control-por-voz-fhd-streaming-_JM,1070313715,new,1,
amazon fire tv,MLA1441306967,Amazon Convertidor Fire Tv Stick Lite Alexa Voice Smart Tv,136491.25,https://articulo.mercadolibre.com.ar/MLA-1441306967-amazon-convertidor-fire-tv-stick-lite-alexa-voice-smart-tv-_JM,815964052,new,1,
amazon fire tv,MLA1364216697,Amazon Fire Tv Stick Lite Full Hd 8gb 1gb Ram Streaming,57984.0,https://articulo.mercadolibre.com.ar/MLA-1364216697-amazon-fire-tv-stick-lite-full-hd-8gb-1gb-ram-streaming-_JM,541665065,new,1,
amazon fire tv,MLA2005704458,Amazon Fire Tv Stick 4k 2023 Wifi 6 2gb De Ram Sicoaf,68499.0,https://articulo.mercadolibre.com.ar/MLA-2005704458-amazon-fire-tv-stick-4k-2023-wifi-6-2gb-de-ram-sicoaf-_JM,821536236,new,1,
amazon fire tv,MLA1664943482,Amazon Tv Stick Fire Tv Stick 4k Max K2r2te De Voz 1.ª Generación 4k 8gb Negro Con 2gb De Memoria Ram,100540.0,https://www.mercadolibre.com.ar/amazon-tv-stick-fire-tv-stick-4k-max-k2r2te-de-voz-1-generacion-4k-8gb-negro-con-2gb-de-memoria-ram/p/MLA22384784#wid=MLA1664943482&sid=unknown,29675476,new,1,
amazon fire tv,MLA1916062622,Amazon Tv Stick Lite 3ra Gen Streaming Full Hd,77427.0,https://articulo.mercadolibre.com.ar/MLA-1916062622-amazon-tv-stick-lite-3ra-gen-streaming-full-hd-_JM,198175440,new,500,
amazon fire tv,MLA1465489187,Amazon Fire Tv Stick 4k Fire Tv Stick 4k 53-008355 Pilas 4k Negro,89000.0,https://www.mercadolibre.com.ar/amazon-fire-tv-stick-4k-fire-tv-stick-4k-53-008355-pilas-4k-negro/p/MLA42248736#wid=MLA1465489187&sid=unknown,710955168,new,1,
